Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season,MVP,Ring
393,3/22/91,East,Away,PHI,40,20,8,23,4,5,5,Y,Y
394,3/23/91,East,Home,IND,40,39,15,25,9,9,5,Y,Y
395,3/25/91,West,Home,HOU,37,34,15,25,4,7,5,Y,Y
396,3/28/91,East,Away,NJN,30,42,16,26,10,11,5,Y,Y
397,3/29/91,East,Away,WSB,35,20,7,17,5,5,5,Y,Y
398,3/31/91,East,Away,BOS,51,37,12,36,13,13,5,Y,Y
399,4/2/91,East,Home,ORL,41,44,17,26,10,12,5,Y,Y
400,4/4/91,East,Away,NYK,35,34,15,30,4,5,5,Y,Y
401,4/5/91,West,Home,SAS,36,39,13,26,12,14,5,Y,Y
402,4/7/91,East,Home,PHI,48,41,16,27,9,14,5,Y,Y
403,4/9/91,East,Home,NYK,37,28,10,18,7,8,5,Y,Y
404,4/10/91,East,Away,IND,41,28,12,21,4,6,5,Y,Y
405,4/12/91,East,Away,DET,43,40,13,24,13,15,5,Y,Y
406,4/15/91,East,Home,MIL,39,46,17,27,12,14,5,Y,Y
407,4/17/91,East,Away,MIA,40,26,9,20,8,9,5,Y,Y
408,4/19/91,East,Away,CHH,39,41,15,22,11,13,5,Y,Y
409,4/21/91,East,Home,DET,30,18,6,15,6,6,5,Y,Y
410,11/1/91,East,Home,PHI,30,26,11,18,4,6,6,Y,Y
411,11/2/91,East,Away,MIL,42,46,19,29,7,7,6,Y,Y
412,11/5/91,West,Home,GSW,46,40,17,22,5,8,6,Y,Y
413,11/6/91,East,Away,BOS,38,44,16,26,9,9,6,Y,Y
414,11/8/91,West,Home,DAL,36,26,10,15,6,8,6,Y,Y
415,11/9/91,East,Home,ORL,35,27,13,26,1,1,6,Y,Y
416,11/12/91,East,Home,DET,29,20,8,14,4,5,6,Y,Y
417,11/13/91,East,Away,CHH,33,35,11,19,12,12,6,Y,Y
418,11/15/91,East,Home,MIL,37,17,5,10,7,8,6,Y,Y
419,11/20/91,West,Away,GSW,45,35,12,25,11,13,6,Y,Y
420,11/22/91,West,Away,SEA,45,31,11,26,9,10,6,Y,Y
421,11/23/91,West,Away,DEN,41,37,15,28,7,7,6,Y,Y
422,11/26/91,West,Away,LAC,33,23,11,19,1,2,6,Y,Y
423,11/29/91,West,Away,POR,51,40,16,39,8,10,6,Y,Y
424,11/30/91,West,Away,SAC,39,30,13,21,4,9,6,Y,Y
425,12/4/91,East,Home,CLE,41,16,7,20,2,2,6,Y,Y
426,12/6/91,East,Home,CHH,34,19,8,19,2,4,6,Y,Y
427,12/7/91,East,Away,PHI,41,32,12,25,8,10,6,Y,Y
428,12/10/91,West,Home,SEA,39,19,7,20,5,8,6,Y,Y
429,12/13/91,East,Home,NYK,43,27,9,18,9,12,6,Y,Y
430,12/14/91,East,Away,WSB,33,29,12,19,5,8,6,Y,Y
431,12/17/91,West,Home,LAL,38,21,6,20,9,10,6,Y,Y
432,12/20/91,East,Away,NJN,30,24,8,18,8,8,6,Y,Y
433,12/21/91,East,Home,ATL,43,37,16,24,3,3,6,Y,Y
434,12/25/91,East,Home,BOS,35,14,6,14,2,2,6,Y,Y
435,12/26/91,East,Away,ATL,44,34,15,31,3,4,6,Y,Y
436,12/28/91,West,Home,SAC,36,33,11,20,11,12,6,Y,Y
437,12/30/91,East,Away,IND,44,29,10,19,9,11,6,Y,Y
438,1/3/92,East,Away,MIL,40,44,19,29,6,8,6,Y,Y
439,1/4/92,East,Home,NJN,32,27,12,20,3,4,6,Y,Y
440,1/7/92,East,Home,WSB,37,21,7,15,6,6,6,Y,Y
441,1/8/92,East,Away,MIA,47,40,17,27,6,9,6,Y,Y
442,1/10/92,West,Home,UTA,37,37,15,25,6,6,6,Y,Y
443,1/11/92,East,Home,MIA,39,30,10,19,10,10,6,Y,Y
444,1/14/92,East,Home,PHI,33,26,11,20,4,4,6,Y,Y
445,1/16/92,East,Away,CLE,39,35,15,26,5,6,6,Y,Y
446,1/17/92,West,Home,SAS,38,31,10,23,10,10,6,Y,Y
447,1/19/92,East,Away,DET,45,34,12,27,10,14,6,Y,Y
448,1/21/92,West,Home,PHO,41,30,13,23,4,5,6,Y,Y
449,1/22/92,East,Away,CHH,43,23,7,18,8,8,6,Y,Y
450,1/24/92,East,Home,DET,30,20,9,14,2,2,6,Y,Y
451,1/25/92,West,Home,HOU,41,35,12,27,8,10,6,Y,Y
452,1/28/92,West,Away,SAS,44,39,15,31,9,11,6,Y,Y
453,1/30/92,West,Away,HOU,43,22,9,26,4,4,6,Y,Y
454,1/31/92,West,Away,DAL,37,25,10,17,5,6,6,Y,Y
455,2/2/92,West,Away,LAL,44,33,13,27,6,8,6,Y,Y
456,2/3/92,West,Away,UTA,56,34,13,34,7,9,6,Y,Y
457,2/11/92,East,Home,NJN,34,34,13,23,8,9,6,Y,Y
458,2/13/92,East,Away,NYK,35,17,4,15,9,11,6,Y,Y
459,2/15/92,East,Home,NYK,42,29,9,24,11,12,6,Y,Y
460,2/17/92,East,Home,CLE,43,46,21,32,4,5,6,Y,Y
461,2/19/92,East,Away,ORL,38,27,11,23,5,7,6,Y,Y
462,2/21/92,East,Away,ATL,46,33,14,23,5,6,6,Y,Y
463,2/22/92,West,Home,MIN,35,30,13,27,4,6,6,Y,Y
464,2/25/92,East,Away,DET,42,23,11,22,1,3,6,Y,Y
465,2/26/92,East,Home,WSB,27,26,10,17,5,6,6,Y,Y
466,2/28/92,East,Away,MIL,41,24,8,18,8,10,6,Y,Y
467,3/1/92,West,Home,POR,36,31,10,23,11,12,6,Y,Y
468,3/3/92,East,Home,IND,39,27,12,21,3,5,6,Y,Y
469,3/5/92,West,Away,MIN,39,33,14,26,5,5,6,Y,Y
470,3/6/92,East,Home,MIA,28,27,12,20,3,3,6,Y,Y
471,3/8/92,East,Away,PHI,43,34,12,26,10,13,6,Y,Y
472,3/11/92,East,Home,BOS,35,32,14,23,4,4,6,Y,Y
473,3/14/92,East,Away,ORL,38,26,11,22,4,4,6,Y,Y
474,3/16/92,East,Away,MIA,39,37,15,27,7,7,6,Y,Y
475,3/17/92,East,Away,NJN,45,40,16,32,8,12,6,Y,Y
476,3/19/92,East,Away,WSB,43,51,19,30,12,15,6,Y,Y
477,3/21/92,East,Home,ORL,38,25,10,22,5,7,6,Y,Y
478,3/24/92,West,Home,DEN,41,50,18,31,12,13,6,Y,Y
479,3/28/92,East,Home,CLE,37,44,21,32,2,2,6,Y,Y
480,3/31/92,East,Away,NYK,40,36,13,23,10,12,6,Y,Y
481,4/1/92,East,Home,CHH,39,31,11,22,8,10,6,Y,Y
482,4/3/92,West,Home,LAC,42,15,5,17,5,6,6,Y,Y
483,4/5/92,East,Away,BOS,40,26,12,28,2,2,6,Y,Y
484,4/7/92,East,Home,MIL,37,30,12,22,4,4,6,Y,Y
485,4/10/92,East,Away,IND,42,35,16,30,2,4,6,Y,Y
486,4/11/92,East,Home,IND,37,23,8,20,7,7,6,Y,Y
487,4/13/92,East,Home,ATL,23,12,6,12,0,0,6,Y,Y
488,4/17/92,East,Away,ATL,32,21,9,16,3,4,6,Y,Y
489,4/19/92,East,Home,DET,39,32,9,17,14,15,6,Y,Y
490,11/6/92,East,Away,CLE,37,29,12,26,5,6,7,N,Y
491,11/7/92,East,Home,ATL,39,35,13,29,8,9,7,N,Y
492,11/9/92,East,Home,IND,42,24,10,20,4,5,7,N,Y
493,11/11/92,East,Home,DET,52,37,13,24,8,10,7,N,Y
494,11/13/92,East,Away,MIL,42,34,14,31,6,8,7,N,Y
495,11/14/92,West,Home,DEN,22,18,7,13,2,2,7,N,Y
496,11/17/92,West,Away,MIN,31,32,14,21,2,3,7,N,Y
497,11/19/92,West,Away,SEA,34,35,14,22,5,5,7,N,Y
498,11/20/92,West,Away,LAL,47,54,21,39,11,14,7,N,Y
499,11/22/92,West,Away,PHO,39,40,16,27,8,8,7,N,Y
500,11/24/92,West,Away,GSW,44,49,18,30,12,14,7,N,Y
501,11/28/92,East,Away,NYK,38,17,4,20,9,9,7,N,Y
502,12/4/92,West,Home,POR,38,38,15,25,7,9,7,N,Y
503,12/5/92,East,Home,BOS,37,24,8,20,8,9,7,N,Y
504,12/8/92,East,Away,ATL,46,32,14,28,2,2,7,N,Y
505,12/9/92,East,Home,CLE,35,28,10,22,7,7,7,N,Y
506,12/11/92,West,Home,HOU,40,26,11,23,3,3,7,N,Y
507,12/12/92,East,Home,NJN,41,38,13,26,9,12,7,N,Y
508,12/15/92,East,Home,CHH,33,25,11,21,0,0,7,N,Y
509,12/17/92,East,Away,WSB,40,28,12,29,4,4,7,N,Y
510,12/19/92,East,Home,PHI,42,23,11,26,0,0,7,N,Y
511,12/21/92,East,Home,MIA,43,18,6,19,5,6,7,N,Y
512,12/23/92,East,Home,WSB,42,57,22,37,7,8,7,N,Y
513,12/25/92,East,Home,NYK,41,42,15,34,12,16,7,N,Y
514,12/26/92,East,Away,IND,20,17,8,22,0,0,7,N,Y
515,12/29/92,East,Away,CHH,42,28,9,25,9,10,7,N,Y
516,12/30/92,East,Away,MIA,40,39,9,18,21,24,7,N,Y
517,1/2/93,East,Home,IND,40,39,14,27,9,11,7,N,Y
518,1/5/93,West,Home,LAL,41,36,15,31,5,6,7,N,Y
519,1/6/93,East,Away,CLE,34,23,10,22,3,5,7,N,Y
520,1/8/93,East,Home,MIL,35,35,15,26,3,3,7,N,Y
521,1/9/93,East,Away,PHI,44,30,13,36,4,4,7,N,Y
522,1/12/93,East,Away,ORL,37,23,9,22,5,6,7,N,Y
523,1/15/93,West,Home,GSW,38,26,10,19,5,5,7,N,Y
524,1/16/93,East,Home,ORL,47,64,27,49,9,11,7,N,Y
525,1/18/93,East,Home,BOS,30,29,10,22,9,10,7,N,Y
526,1/21/93,East,Away,NJN,39,30,12,24,4,4,7,N,Y
527,1/22/93,East,Home,CHH,43,28,10,26,8,11,7,N,Y
528,1/24/93,West,Away,SAS,44,42,16,35,10,11,7,N,Y
529,1/26/93,West,Away,DAL,27,15,7,15,0,0,7,N,Y
530,1/28/93,West,Away,HOU,39,26,12,27,1,2,7,N,Y
531,1/30/93,West,Away,DEN,41,39,14,31,11,15,7,N,Y
532,2/1/93,West,Away,UTA,43,37,13,28,10,14,7,N,Y
533,2/3/93,West,Away,SAC,39,36,14,26,6,7,7,N,Y
534,2/4/93,West,Away,LAC,47,33,13,34,7,7,7,N,Y
535,2/7/93,West,Away,POR,43,34,13,28,4,6,7,N,Y
536,2/10/93,East,Away,IND,42,40,16,27,7,9,7,N,Y
537,2/13/93,East,Home,CLE,43,25,12,22,1,2,7,N,Y
538,2/15/93,West,Home,SAC,37,32,12,21,8,10,7,N,Y
539,2/17/93,West,Home,UTA,34,27,10,25,5,7,7,N,Y
540,2/23/93,East,Home,MIL,41,34,15,26,4,6,7,N,Y
541,2/25/93,East,Away,ORL,41,36,13,29,9,10,7,N,Y
542,2/27/93,East,Home,ATL,36,34,13,27,5,5,7,N,Y
543,3/2/93,East,Away,NJN,40,24,8,17,7,9,7,N,Y
544,3/9/93,West,Home,SEA,41,38,15,28,8,9,7,N,Y
545,3/11/93,East,Away,MIA,38,29,11,25,6,6,7,N,Y
546,3/12/93,East,Home,CHH,43,52,21,35,8,9,7,N,Y
547,3/14/93,East,Away,DET,43,28,11,25,5,6,7,N,Y
548,3/15/93,West,Home,LAC,38,23,10,22,3,4,7,N,Y
549,3/19/93,East,Home,WSB,39,25,9,27,7,7,7,N,Y
550,3/20/93,East,Away,WSB,31,47,16,27,13,15,7,N,Y
551,3/23/93,West,Home,MIN,42,34,12,21,6,6,7,N,Y
552,3/24/93,East,Away,PHI,39,43,20,29,1,2,7,N,Y
553,3/26/93,East,Home,ORL,33,18,5,14,8,8,7,N,Y
554,3/30/93,West,Home,PHO,40,44,19,31,6,7,7,N,Y
555,4/2/93,East,Home,NJN,38,40,16,24,8,9,7,N,Y
556,4/4/93,East,Away,BOS,40,32,14,23,3,6,7,N,Y
557,4/6/93,East,Away,MIL,44,30,13,30,3,4,7,N,Y
558,4/9/93,East,Away,ATL,44,30,12,23,5,5,7,N,Y
559,4/10/93,East,Away,IND,42,25,11,25,3,4,7,N,Y
560,4/12/93,East,Away,DET,41,23,9,21,5,5,7,N,Y
561,4/14/93,East,Home,MIA,31,34,12,19,7,7,7,N,Y
562,4/16/93,East,Home,MIL,35,47,15,25,17,21,7,N,Y
563,4/18/93,East,Away,CLE,45,32,13,26,6,7,7,N,Y
564,4/20/93,East,Home,PHI,27,28,12,22,1,1,7,N,Y
565,4/22/93,East,Home,DET,46,36,15,27,6,11,7,N,Y
566,4/23/93,East,Away,CHH,38,38,15,27,7,8,7,N,Y
567,4/25/93,East,Away,NYK,37,21,10,28,1,3,7,N,Y
568,11/3/95,East,Home,CHH,39,42,16,29,7,9,8,Y,Y
569,11/4/95,East,Home,BOS,21,15,5,12,5,7,8,Y,Y
570,11/7/95,East,Home,TOR,40,38,13,19,9,9,8,Y,Y
571,11/9/95,East,Away,CLE,37,29,12,24,1,2,8,Y,Y
572,11/11/95,West,Home,POR,40,36,11,23,14,15,8,Y,Y
573,11/14/95,East,Away,ORL,40,23,8,20,4,5,8,Y,Y
574,11/15/95,East,Home,CLE,29,20,7,10,5,7,8,Y,Y
575,11/17/95,East,Home,NJN,35,18,7,16,4,4,8,Y,Y
576,11/21/95,West,Away,DAL,45,36,12,25,12,13,8,Y,Y
577,11/22/95,West,Away,SAS,43,38,15,27,7,8,8,Y,Y
578,11/24/95,West,Away,UTA,40,34,9,21,14,17,8,Y,Y
579,11/26/95,West,Away,SEA,40,22,6,19,10,11,8,Y,Y
580,11/27/95,West,Away,POR,41,33,13,22,7,8,8,Y,Y
581,11/30/95,West,Away,VAN,39,29,14,26,1,2,8,Y,Y
582,12/2/95,West,Away,LAC,43,37,13,22,11,14,8,Y,Y
583,12/6/95,East,Home,NYK,45,22,8,27,6,6,8,Y,Y
584,12/8/95,West,Home,SAS,36,28,11,23,6,6,8,Y,Y
585,12/9/95,East,Away,MIL,42,45,16,28,13,16,8,Y,Y
586,12/13/95,East,Home,ORL,43,36,15,30,2,6,8,Y,Y
587,12/14/95,East,Away,ATL,31,22,8,16,5,5,8,Y,Y
588,12/16/95,West,Home,LAL,38,20,5,20,10,10,8,Y,Y
589,12/18/95,East,Away,BOS,40,37,16,27,5,8,8,Y,Y
590,12/19/95,West,Home,DAL,36,32,12,23,8,8,8,Y,Y
591,12/22/95,East,Home,TOR,40,27,9,19,7,7,8,Y,Y
592,12/23/95,West,Home,UTA,37,30,12,22,5,5,8,Y,Y
593,12/26/95,East,Away,IND,43,30,11,28,7,9,8,Y,Y
594,12/29/95,East,Home,IND,36,29,8,20,13,18,8,Y,Y
595,12/30/95,East,Home,ATL,42,33,14,27,4,6,8,Y,Y
596,1/3/96,West,Home,HOU,40,38,17,29,3,4,8,Y,Y
597,1/4/96,East,Away,CHH,34,27,11,20,5,7,8,Y,Y
598,1/6/96,East,Home,MIL,37,32,10,20,10,12,8,Y,Y
599,1/10/96,West,Home,SEA,36,35,14,25,6,7,8,Y,Y
600,1/13/96,East,Away,PHI,34,48,18,28,7,7,8,Y,Y
601,1/15/96,East,Away,WSB,39,46,16,31,11,11,8,Y,Y
602,1/16/96,East,Home,PHI,32,32,13,22,4,6,8,Y,Y
603,1/18/96,East,Away,TOR,43,38,14,28,6,8,8,Y,Y
604,1/21/96,East,Away,DET,43,36,12,23,9,11,8,Y,Y
605,1/23/96,East,Away,NYK,36,33,13,23,4,5,8,Y,Y
606,1/24/96,West,Home,VAN,26,12,4,10,4,6,8,Y,Y
607,1/26/96,East,Home,MIA,35,25,10,21,4,5,8,Y,Y
608,1/28/96,West,Home,PHO,42,31,13,25,5,7,8,Y,Y
609,1/30/96,West,Away,HOU,43,22,7,26,7,8,8,Y,Y
610,2/1/96,West,Away,SAC,38,27,7,16,13,14,8,Y,Y
611,2/2/96,West,Away,LAL,39,17,8,17,1,1,8,Y,Y
612,2/4/96,West,Away,DEN,41,39,13,29,9,11,8,Y,Y
613,2/6/96,West,Away,PHO,40,28,9,22,10,17,8,Y,Y
614,2/7/96,West,Away,GSW,46,40,15,31,10,13,8,Y,Y
615,2/13/96,East,Home,WSB,36,32,11,23,8,10,8,Y,Y
616,2/15/96,East,Away,DET,49,32,10,30,12,12,8,Y,Y
617,2/16/96,West,Away,MIN,38,35,13,23,5,5,8,Y,Y
618,2/18/96,East,Away,IND,42,44,16,29,9,10,8,Y,Y
619,2/20/96,East,Home,CLE,35,14,6,19,2,3,8,Y,Y
620,2/22/96,East,Away,ATL,43,34,15,26,2,2,8,Y,Y
621,2/23/96,East,Away,MIA,40,31,9,21,12,13,8,Y,Y
622,2/25/96,East,Home,ORL,40,23,8,19,6,8,8,Y,Y
623,2/27/96,West,Home,MIN,41,35,11,24,11,12,8,Y,Y
624,3/1/96,West,Home,GSW,35,17,7,17,2,3,8,Y,Y
625,3/2/96,East,Home,BOS,32,21,8,15,5,8,8,Y,Y
626,3/5/96,East,Home,MIL,32,33,12,20,5,6,8,Y,Y
627,3/7/96,East,Home,DET,38,53,21,28,9,10,8,Y,Y
628,3/10/96,East,Away,NYK,43,32,12,26,6,7,8,Y,Y
629,3/13/96,East,Home,WSB,36,37,12,25,11,12,8,Y,Y
630,3/15/96,West,Home,DEN,36,33,14,22,2,3,8,Y,Y
631,3/16/96,East,Away,NJN,43,37,14,29,7,7,8,Y,Y
632,3/18/96,East,Away,PHI,47,38,15,32,8,10,8,Y,Y
633,3/19/96,West,Home,SAC,35,20,7,16,6,6,8,Y,Y
634,3/21/96,East,Home,NYK,37,36,14,24,7,7,8,Y,Y
635,3/24/96,East,Away,TOR,39,36,14,22,8,8,8,Y,Y
636,3/28/96,East,Home,ATL,30,13,5,12,3,6,8,Y,Y
637,3/30/96,West,Home,LAC,34,21,6,15,9,10,8,Y,Y
638,4/2/96,East,Away,MIA,37,32,11,23,8,8,8,Y,Y
639,4/4/96,East,Home,MIA,41,40,13,24,13,16,8,Y,Y
640,4/5/96,East,Away,CHH,28,24,10,16,2,3,8,Y,Y
641,4/7/96,East,Away,ORL,44,27,10,30,5,5,8,Y,Y
642,4/8/96,East,Home,CHH,42,40,13,27,13,19,8,Y,Y
643,4/11/96,East,Away,NJN,26,17,8,18,1,4,8,Y,Y
644,4/12/96,East,Home,PHI,29,23,10,16,1,1,8,Y,Y
645,4/14/96,East,Away,CLE,35,32,11,18,6,6,8,Y,Y
646,4/16/96,East,Away,MIL,42,22,9,27,3,4,8,Y,Y
647,4/18/96,East,Home,DET,24,30,11,18,4,4,8,Y,Y
648,4/20/96,East,Home,IND,31,24,9,23,4,5,8,Y,Y
649,4/21/96,East,Away,WSB,24,26,11,22,3,3,8,Y,Y
650,11/1/96,East,Away,BOS,43,30,10,22,10,13,9,N,Y
651,11/2/96,East,Home,PHI,30,27,11,20,2,2,9,N,Y
652,11/5/96,West,Home,VAN,31,22,9,18,1,1,9,N,Y
653,11/6/96,East,Away,MIA,39,50,18,33,13,14,9,N,Y
654,11/8/96,East,Away,DET,35,15,6,14,2,2,9,N,Y
655,11/9/96,East,Home,BOS,31,27,10,23,7,11,9,N,Y
656,11/11/96,West,Home,PHO,35,26,12,21,1,2,9,N,Y
657,11/13/96,East,Home,MIA,33,28,8,23,12,16,9,N,Y
658,11/15/96,East,Away,CHH,28,38,15,25,4,4,9,N,Y
659,11/16/96,East,Home,ATL,35,25,11,23,3,4,9,N,Y
660,11/20/96,West,Away,PHO,35,37,16,29,5,6,9,N,Y
661,11/21/96,West,Away,DEN,33,31,12,23,7,7,9,N,Y
662,11/23/96,West,Away,UTA,39,44,17,32,10,12,9,N,Y
663,11/25/96,West,Away,LAC,42,40,14,26,11,12,9,N,Y
664,11/29/96,West,Away,DAL,39,36,13,23,6,6,9,N,Y
665,11/30/96,West,Away,SAS,38,35,14,35,5,5,9,N,Y
666,12/3/96,East,Away,MIL,41,40,13,27,14,17,9,N,Y
667,12/5/96,West,Home,LAC,31,20,9,21,2,3,9,N,Y
668,12/7/96,East,Home,MIA,41,37,16,30,5,6,9,N,Y
669,12/8/96,East,Away,TOR,20,13,5,17,2,2,9,N,Y
670,12/11/96,West,Home,MIN,36,27,10,16,6,6,9,N,Y
671,12/13/96,East,Away,NJN,34,32,9,19,11,12,9,N,Y
672,12/14/96,East,Home,CHH,41,29,10,26,9,12,9,N,Y
673,12/17/96,West,Home,LAL,47,30,10,32,10,14,9,N,Y
674,12/19/96,East,Away,CHH,36,35,13,27,6,7,9,N,Y
675,12/21/96,East,Away,PHI,44,31,12,29,6,8,9,N,Y
676,12/23/96,East,Home,NJN,33,24,10,18,4,4,9,N,Y
677,12/25/96,East,Home,DET,46,23,9,21,5,7,9,N,Y
678,12/26/96,East,Away,ATL,39,34,10,25,12,13,9,N,Y
679,12/28/96,East,Home,CLE,41,45,13,25,19,20,9,N,Y
680,12/30/96,East,Home,IND,39,28,12,29,3,4,9,N,Y
681,1/3/97,East,Home,ORL,35,22,10,18,2,2,9,N,Y
682,1/6/97,West,Home,UTA,40,23,8,20,5,6,9,N,Y
683,1/10/97,East,Away,MIL,38,33,11,23,8,13,9,N,Y
684,1/11/97,West,Home,HOU,38,32,12,25,4,4,9,N,Y
685,1/14/97,East,Home,WSB,39,39,14,27,11,11,9,N,Y
686,1/15/97,West,Away,MIN,34,25,12,22,0,0,9,N,Y
687,1/17/97,East,Home,MIL,36,24,10,15,3,4,9,N,Y
688,1/19/97,West,Away,HOU,43,26,8,25,9,9,9,N,Y
689,1/21/97,East,Home,NYK,43,51,18,30,10,11,9,N,Y
690,1/23/97,East,Away,CLE,39,32,10,24,11,12,9,N,Y
691,1/25/97,East,Home,TOR,30,24,10,16,1,2,9,N,Y
692,1/28/97,West,Away,VAN,32,28,12,19,3,4,9,N,Y
693,1/30/97,West,Away,SAC,39,32,11,19,9,10,9,N,Y
694,1/31/97,West,Away,GSW,32,18,8,17,1,1,9,N,Y
695,2/2/97,West,Away,SEA,44,45,19,28,5,6,9,N,Y
696,2/4/97,West,Away,POR,41,36,15,30,5,5,9,N,Y
697,2/5/97,West,Away,LAL,39,27,10,24,5,6,9,N,Y
698,2/11/97,East,Home,CHH,41,43,16,24,10,14,9,N,Y
699,2/14/97,East,Away,ATL,45,30,13,28,3,5,9,N,Y
700,2/16/97,East,Home,ORL,37,19,8,20,0,0,9,N,Y
701,2/18/97,West,Home,DEN,32,24,10,18,3,4,9,N,Y
702,2/21/97,East,Away,WSB,45,36,13,28,7,12,9,N,Y
703,2/22/97,West,Home,GSW,30,34,13,19,3,4,9,N,Y
704,2/24/97,West,Home,POR,30,37,13,27,8,9,9,N,Y
705,2/27/97,East,Away,CLE,43,23,7,25,9,9,9,N,Y
706,2/28/97,West,Home,SAC,34,35,13,20,4,5,9,N,Y
707,3/3/97,East,Home,MIL,36,31,11,19,6,6,9,N,Y
708,3/5/97,West,Home,SAS,23,16,7,17,1,2,9,N,Y
709,3/7/97,East,Home,IND,44,38,11,21,15,17,9,N,Y
710,3/9/97,East,Away,NYK,46,36,14,31,8,9,9,N,Y
711,3/11/97,East,Away,BOS,43,32,13,23,5,6,9,N,Y
712,3/12/97,East,Away,PHI,37,23,9,24,4,5,9,N,Y
713,3/14/97,East,Away,NJN,38,36,16,34,3,5,9,N,Y
714,3/15/97,East,Home,ATL,38,10,5,11,0,0,9,N,Y
715,3/18/97,West,Home,SEA,50,32,10,28,12,13,9,N,Y
716,3/21/97,East,Away,IND,40,36,11,25,13,14,9,N,Y
717,3/22/97,East,Home,DET,35,23,8,20,4,4,9,N,Y
718,3/25/97,West,Home,DAL,36,20,9,20,2,2,9,N,Y
719,3/27/97,East,Away,TOR,41,12,5,17,2,3,9,N,Y
720,3/29/97,East,Home,NJN,38,21,9,21,2,3,9,N,Y
721,4/1/97,East,Home,BOS,27,21,8,11,5,9,9,N,Y
722,4/3/97,East,Away,WSB,38,34,14,30,5,6,9,N,Y
723,4/4/97,East,Home,CLE,38,22,9,16,4,5,9,N,Y
724,4/6/97,East,Away,ORL,40,37,13,22,8,9,9,N,Y
725,4/7/97,East,Home,PHI,29,30,13,25,1,2,9,N,Y
726,4/9/97,East,Away,IND,41,23,8,19,7,8,9,N,Y
727,4/10/97,East,Away,NYK,44,34,12,26,9,10,9,N,Y
728,4/13/97,East,Away,DET,38,18,7,16,4,4,9,N,Y
729,4/14/97,East,Home,TOR,34,30,12,24,2,2,9,N,Y
730,4/16/97,East,Away,MIA,39,26,11,27,2,4,9,N,Y
731,4/19/97,East,Home,NYK,39,33,14,22,4,8,9,N,Y
732,10/31/97,East,Away,BOS,42,30,7,23,16,21,10,Y,Y
733,11/1/97,East,Home,PHI,24,16,7,14,2,2,10,Y,Y
734,11/3/97,West,Home,SAS,47,29,12,39,4,6,10,Y,Y
735,11/5/97,East,Home,ORL,41,29,11,25,7,9,10,Y,Y
736,11/7/97,East,Away,ATL,40,27,11,25,5,7,10,Y,Y
737,11/8/97,East,Home,NJN,33,15,5,13,5,8,10,Y,Y
738,11/11/97,East,Away,CLE,34,19,7,17,5,7,10,Y,Y
739,11/12/97,East,Home,WSB,40,28,10,28,8,12,10,Y,Y
740,11/14/97,East,Home,CHH,38,28,12,24,2,2,10,Y,Y
741,11/15/97,East,Home,CLE,39,27,11,26,4,7,10,Y,Y
742,11/20/97,West,Away,PHO,41,30,13,27,4,6,10,Y,Y
743,11/21/97,West,Away,LAC,52,49,18,38,13,19,10,Y,Y
744,11/23/97,West,Away,SAC,41,33,11,19,11,12,10,Y,Y
745,11/25/97,West,Away,SEA,38,26,11,25,4,6,10,Y,Y
746,11/28/97,East,Away,IND,37,26,11,26,4,8,10,Y,Y
747,11/29/97,East,Away,WSB,40,29,10,21,8,12,10,Y,Y
748,12/3/97,East,Away,BOS,40,29,11,21,6,8,10,Y,Y
749,12/5/97,East,Home,MIL,35,13,4,16,5,6,10,Y,Y
750,12/9/97,East,Home,NYK,37,29,10,23,9,9,10,Y,Y
751,12/10/97,East,Away,ORL,37,25,6,17,13,13,10,Y,Y
752,12/12/97,East,Away,CHH,41,28,12,24,4,6,10,Y,Y
753,12/13/97,East,Home,TOR,27,11,4,16,3,4,10,Y,Y
754,12/15/97,West,Home,PHO,36,31,10,23,11,12,10,Y,Y
755,12/17/97,West,Home,LAL,35,36,12,22,11,12,10,Y,Y
756,12/20/97,East,Away,NJN,42,24,10,23,4,5,10,Y,Y
757,12/23/97,West,Home,LAC,40,27,9,24,9,12,10,Y,Y
758,12/25/97,East,Home,MIA,38,24,8,20,8,12,10,Y,Y
759,12/27/97,East,Home,ATL,36,47,18,26,11,13,10,Y,Y
760,12/29/97,West,Home,DAL,42,41,16,29,9,11,10,Y,Y
761,12/30/97,West,Away,MIN,39,33,11,28,10,13,10,Y,Y
762,1/2/98,East,Home,MIL,43,44,15,22,13,15,10,Y,Y
763,1/3/98,East,Away,DET,47,34,12,25,10,11,10,Y,Y
764,1/6/98,East,Home,BOS,41,19,5,13,9,12,10,Y,Y
765,1/7/98,East,Away,MIA,37,26,12,27,1,3,10,Y,Y
766,1/9/98,East,Away,NYK,42,44,17,33,9,10,10,Y,Y
767,1/10/98,West,Home,GSW,39,32,13,31,6,10,10,Y,Y
768,1/13/98,West,Home,SEA,38,40,12,27,16,18,10,Y,Y
769,1/15/98,East,Away,PHI,38,20,9,23,2,4,10,Y,Y
770,1/16/98,East,Away,MIL,40,27,10,20,6,7,10,Y,Y
771,1/18/98,West,Home,HOU,41,45,16,29,11,12,10,Y,Y
772,1/21/98,East,Home,CHH,31,33,14,23,4,4,10,Y,Y
773,1/23/98,East,Away,NJN,44,32,10,23,12,13,10,Y,Y
774,1/25/98,West,Home,UTA,44,32,13,26,6,7,10,Y,Y
